"asset_owning_dept","project_number","asset_type","asset_subtype","project_name"
"Transportation & Storm Water","S01092","Buildings","Other City Facility / Structures","Mission Beach Community Clinic - ADA Improvements"
"Transportation & Storm Water","S00936","Transportation","Bridge - Vehicular","Mission City Parkway/San Diego River"
"Transportation & Storm Water","S00734","Transportation","Bicycle Facilities","Mission Trails RP/Mission Bay Bike Path"
"Transportation & Storm Water","S10088","Transportation","Roadway - Street Lighting","Mount Hope/Market Street Median and Street Lights"
"Transportation & Storm Water","S01098","Drainage","Storm Drain Pipes","Murphy Canyon Road Storm Drain Repair"
"Transportation & Storm Water","S00849","Transportation","Roadway","Napa Street from Linda Vista Rd to Morena Blvd"
"Transportation & Storm Water","S00746","Transportation","Signals - Interconnections","Navajo Road Interconnect"
"Transportation & Storm Water","AID00009","Transportation","Roadway","New Developments"
"Transportation & Storm Water","S00876","Transportation","Roadway","New Heritage Road (Otay Valley Road)-Central"
"Transportation & Storm Water","AIK00001","Transportation","Ped Facilities - Sidewalks","New Walkways"
"Transportation & Storm Water","S00728","Transportation","Bridge - Vehicular","N Harbor Dr Navy Estuary Seismic Retrofit"
"Transportation & Storm Water","S00709","Transportation","Roadway","Nobel Drive / I-805 Interchange"
"Transportation & Storm Water","S00918","Transportation","Roadway - Enhance/Scape/Medians","Normal Street Median-University to Blaine"
"Transportation & Storm Water","S00825","Transportation","Ped Facilities - Sidewalks","North Park Commercial Revitalization"
"Transportation & Storm Water","S00823","Transportation","Roadway - Street Lighting","North Park Lighting Improvements"
"Transportation & Storm Water","S11049","Transportation","Ped Facilities - Curb Ramps","North Park Obstructed Curb Ramp Barrier Removal"
"Transportation & Storm Water","S00720","Transportation","Roadway","North Torrey Pines Road @ Genesee Avenue"
"Transportation & Storm Water","S00935","Transportation","Bridge - Vehicular","N Torrey Pines Rd Bridge/ Los Penasquitos"
"Transportation & Storm Water","S00868","Transportation","Roadway - Enhance/Scape/Medians","N Torrey Pines Roadway/Median Enhance"
"Transportation & Storm Water","S01077","Transportation","Roadway","Ocean Beach Commercial Revitalization Newport Ave"
"Transportation & Storm Water","S00949","Transportation","Bicycle Facilities","Ocean Beach/Hotel Circle Bicycle Path"
"Transportation & Storm Water","S00875","Transportation","Ped Facilities - Sidewalks","Ocean Front Walk-San Fernando to Ventura"
"Transportation & Storm Water","S00882","Transportation","Roadway","Ocean View Hills Parkway"
"Transportation & Storm Water","S00870","Transportation","Roadway","Old Otay Mesa Road-Westerly"
"Transportation & Storm Water","S21000","Water","Distribution System - Transmission","Otay 2nd Pipeline St Replacement Ph 5"
"Transportation & Storm Water","S00724","Transportation","Roadway","Otay Mesa Truck Route Phase 3"
"Transportation & Storm Water","S11060","Transportation","Roadway","Otay Mesa Truck Route Phase 4"
"Transportation & Storm Water","S11048","Transportation","Ped Facilities - Accessibility Improvements","Pacific Beach Curb Ramp Barrier Removal"
"Transportation & Storm Water","S01062","Transportation","Signals - Traffic Signals","Pacific Highlands Traffic Signals"
"Transportation & Storm Water","S11036","Transportation","Bicycle Facilities","Pacific Highway Bicycle Route"
"Transportation & Storm Water","S11045","Transportation","Ped Facilities - Accessibility Improvements","Pacific Hwy Curb Ramp Barrier Removal"
"Transportation & Storm Water","S00869","Transportation","Bridge - Vehicular","Palm Avenue Interstate 805 Interchange"
"Transportation & Storm Water","S00913","Transportation","Roadway","Palm Avenue Roadway Improvements"
"Transportation & Storm Water","S00829","Transportation","Roadway","Paradise Hills Revitalization Project"
"Transportation & Storm Water","S11035","Transportation","Bicycle Facilities","Park Blvd Bicycle Facility"
"Transportation & Storm Water","S11054","Transportation","Ped Facilities - Accessibility Improvements","Park Boulevard and Essex Street"
"Transportation & Storm Water","S15045","Transportation","Roadway","Park Boulevard At-Grade Crossing"
"Transportation & Storm Water","S00938","Transportation","Bridge - Pedestrian","Pedestrian Bridge - Ted Williams Parkway"
"Transportation & Storm Water","S00737","Transportation","Bicycle Facilities","Pedestrian Master Plan"
"Transportation & Storm Water","S00885","Transportation","Roadway","Pershing Drive/Redwood Street Intersection"
"Transportation & Storm Water","S00742","Transportation","Signals - Interconnections","Point Loma/Ocean Beach Interconnect"
"Transportation & Storm Water","S00933","Transportation","Roadway","Pomerado Rd at Willow Creek/Ave of Nations IS"
"Transportation & Storm Water","S10034","Transportation","Roadway - Enhance/Scape/Medians","Pomerado Rd Median Improvements-s/o R Bernardo R d"
"Transportation & Storm Water","S12026","Transportation","Roadway","Port of San Diego Freeway Access"
"Transportation & Storm Water","S00925","Transportation","Ped Facilities - Sidewalks","Potomac Street Improvements"
"Transportation & Storm Water","S00943","Transportation","Bicycle Facilities","Poway Road Bicycle Path - Class I"
"Transportation & Storm Water","S00924","Transportation","Signals - Calming/Speed Abatement","Prospect Street/Silverado Street Roundabout"
"Transportation & Storm Water","S00962","Transportation","Bicycle Facilities","Rancho Bernardo Bikeway"
"Transportation & Storm Water","S00744","Transportation","Signals - Interconnections","Rancho Bernardo Interconnect"
"Transportation & Storm Water","RD19006","Transportation","Roadway","Rancho Bernardo Rd Widening I-15 / Bernardo Ctr Dr"
"Transportation & Storm Water","S00887","Transportation","Roadway","Rancho Bernardo Street and Sidewalk Improvements"
"Transportation & Storm Water","S00601","Drainage","Storm Drain Pipes","Ransom Street/Darwin Way Storm Drain Repairs"
"Transportation & Storm Water","S00730","Transportation","Bridge - Vehicular","Regents Rd Bridge - Legal"
"Transportation & Storm Water","S00881","Transportation","Roadway","Regents Rd Widening-Genesee to Executive"
"Transportation & Storm Water","S00729","Transportation","Bridge - Vehicular","Regents Road Bridge"
"Transportation & Storm Water","S01034","Transportation","Ped Facilities - Curb Ramps","Removal of Arch Barriers Curb Ramp Contract 48"
"Transportation & Storm Water","S01046","Transportation","Ped Facilities - Curb Ramps","Removal of Arch Barriers Curb Ramp Contract 49"
"Transportation & Storm Water","AIL00010","Transportation","Signals - Traffic Signals","Replace Obsolete T/S Controllers"
"Transportation & Storm Water","S00739","Transportation","Ped Facilities - Sidewalks","Rosa Parks Elementary School-Safe Route to School"
"Transportation & Storm Water","S00830","Transportation","Roadway","Rosecrans Street Corridor Improvements"
"Transportation & Storm Water","S00946","Transportation","Bicycle Facilities","Rose Creek Bikeway"
"Transportation & Storm Water","ACC00002","Drainage","Best Management Practices (BMPs)","Rose & Tecolote Creeks Water Quality Improvements"
"Transportation & Storm Water","S10002","Drainage","Best Management Practices (BMPs)","Rose/Tecolote Creeks Water Quality Improvements"
"Transportation & Storm Water","S00959","Transportation","Bicycle Facilities","Ruffin Road/Murphy Canyon Road Bikeway"
"Transportation & Storm Water","S00964","Transportation","Bicycle Facilities","Safety in Traffic Education STEP Program"
"Transportation & Storm Water","S00945","Transportation","Bicycle Facilities","San Diego River Bicycle Path"
"Transportation & Storm Water","S00929","Transportation","Bicycle Facilities","San Diego River Multi-use Path"
"Transportation & Storm Water","S00958","Transportation","Bicycle Facilities","San Diego River Multi-Use Path"
"Transportation & Storm Water","S11004","Drainage","Storm Drain Pipes","San Remo Way Storm Drain"
"Transportation & Storm Water","S00604","Drainage","Pump Stations","Santa Clara Pump Station"
"Transportation & Storm Water","S11028","Transportation","Ped Facilities - Sidewalks","Saturn Blvd Roadway Improvements"
"Transportation & Storm Water","S00861","Transportation","Roadway","Saturn Boulevard-Palm Ave to Coronado"
"Transportation & Storm Water","AIK00002","Transportation","Ped Facilities - Sidewalks","School Traffic Safety Improvements"
"Transportation & Storm Water","S00837","Transportation","Roadway - Enhance/Scape/Medians","Scripps Ranch Blvd-Carroll Canyon Rd to Aviary"
"Transportation & Storm Water","S00838","Transportation","Roadway - Enhance/Scape/Medians","Scripps Ranch/Mira Mesa Medians Project"
"Transportation & Storm Water","S00888","Transportation","Bridge - Vehicular","Sea World Dr/I5 Interchange Improvement"
"Transportation & Storm Water","B00877","Transportation","Bridge - Vehicular","Seismic Retrofit - PCH Truck Crossing"
"Transportation & Storm Water","S00937","Transportation","Bridge - Vehicular","Seismic Retrofit West Mission Bay Drive Bridge"
"Transportation & Storm Water","AIK00003","Transportation","Ped Facilities - Sidewalks","Sidewalk Repair and Reconstruction"
"Transportation & Storm Water","P19006","Transportation","Roadway - Widening/Reconfiguration","Siempre Viva Road Improvements"
"Transportation & Storm Water","S16044","Transportation","Roadway - Widening/Reconfiguration","Siempre Viva Road Improvements"
"Transportation & Storm Water","S00927","Transportation","Roadway","Skyline Drive at Cardiff Improvements"
"Transportation & Storm Water","S00912","Transportation","Ped Facilities - Sidewalks","Skyline Drive Improvements"
"Transportation & Storm Water","S00932","Transportation","Roadway","Soledad Mountain Road Emergency Repair Project"
"Transportation & Storm Water","S00914","Transportation","Roadway","Sorrento Valley Rd & I5 Interchange"
"Transportation & Storm Water","S21002","Wastewater","Collection System - Trunk Sewer","South Mission Valley Trunk Sewer Ph II"
"Transportation & Storm Water","S00721","Transportation","Roadway - Enhance/Scape/Medians","Sports Arena Blvd-Rosecrans to Midway"
"Transportation & Storm Water","S00832","Transportation","Roadway","Spring Canyon-Scripps Ranch to Pomerado"
"Transportation & Storm Water","S00905","Transportation","Bridge - Vehicular","SR 163/Clairemont Mesa Blvd Interchange"
"Transportation & Storm Water","S00851","Transportation","Bridge - Vehicular","SR 163/Friars Road"
"Transportation & Storm Water","L00011","Transportation","Ped Facilities - Sidewalks","SR2S Sidewalk Projects Grant #2"
"Transportation & Storm Water","L00010","Transportation","Signals - Calming/Speed Abatement","SR2S Traffic Safety Projects Grant #1"
"Transportation & Storm Water","S00712","Transportation","Roadway","SR56/Black Mountain Rd-ROW Construction"
"Transportation & Storm Water","S00717","Transportation","Roadway","SR56 Camino Del  Sur Interchange"
"Transportation & Storm Water","S00714","Transportation","Roadway","SR56/Camino Ruiz Interchange Western 1/2"
"Transportation & Storm Water","S00719","Transportation","Roadway","SR56/Camino Santa Fe Interchange"
"Transportation & Storm Water","S00853","Transportation","Roadway","SR 56-Carmel Country to Black Mountain"
"Transportation & Storm Water","S00920","Transportation","Roadway","SR56 / I-15 Interchange"
"Transportation & Storm Water","S00713","Transportation","Roadway","SR56 Mechanical Ventilation Systems"
"Transportation & Storm Water","S00715","Transportation","Roadway","SR56 Middle Segment"
"Transportation & Storm Water","S11046","Transportation","Bridge - Vehicular","SR94/Euclid Ave Interchange Improvements"
"Transportation & Storm Water","S14009","Transportation","Roadway","SR94/Euclid Av Interchange Phase 2"
"Transportation & Storm Water","S00731","Transportation","Bicycle Facilities","State Route 15 Bikeway Study"
"Transportation & Storm Water","S00942","Transportation","Bicycle Facilities","State Route 52 - Bike Path Study Phase 1"
"Transportation & Storm Water","S00955","Transportation","Bicycle Facilities","State Route 56 Bike Interchanges"
"Transportation & Storm Water","RD14000","Transportation","Roadway","State Route 56 Freeway Expansion"
"Transportation & Storm Water","S10130","Transportation","Roadway - Street Lighting","Stockton Street Lights"
"Transportation & Storm Water","S00864","Transportation","Roadway","Streamview Drive Improvements"
"Transportation & Storm Water","S18000","Transportation","Roadway","Streamview Drive Improvements Phase 2"
"Transportation & Storm Water","AIH00002","Transportation","Roadway - Street Lighting","Street Light Circuit Upgrades"
"Transportation & Storm Water","ACC00003","Transportation","Roadway - Street Lighting","Street Lights in High Crime Areas"
"Transportation & Storm Water","AID00005","Transportation","Roadway","Resurfacing of City Streets"
"Transportation & Storm Water","S00609","Transportation","Roadway - Erosion/Slope/Ret Wall","Talbot Street Slope Restoration"
"Transportation & Storm Water","S00965","Transportation","Bicycle Facilities","Taylor Street Bikeway"
"Transportation & Storm Water","S00968","Transportation","Bicycle Facilities","TDA Bicycle Rings and Racks"
"Transportation & Storm Water","S00941","Transportation","Bridge - Pedestrian","Ted Williams Pkwy Bridge/Shoal Creek Dr"
"Transportation & Storm Water","RD13000","Transportation","Ped Facilities - Sidewalks","Texas St fr Cam Del Rio S to El Caj Blvd"
"Transportation & Storm Water","S00844","Transportation","Roadway - Enhance/Scape/Medians","Thorn Street Median Improvements"
"Transportation & Storm Water","S10015","Transportation","Bridge - Vehicular","Torrey Meadows Drive Overcrossing"
"Transportation & Storm Water","S00613","Transportation","Roadway","Torrey Pines Improvements Phase I"
"Transportation & Storm Water","S15023","Transportation","Ped Facilities - Sidewalks","Torrey Pines Road Improvement Phase 2"
"Transportation & Storm Water","S00877","Transportation","Roadway - Erosion/Slope/Ret Wall","Torrey Pines Road Slope Restoration"
"Transportation & Storm Water","AIL00001","Transportation","Signals - Calming/Speed Abatement","Traffic Calming"
"Transportation & Storm Water","S00963","Transportation","Bicycle Facilities","Traffic Safety and Education Program"
"Transportation & Storm Water","AIL00004","Transportation","Signals - Traffic Signals","Traffic Signals - Citywide"
"Transportation & Storm Water","AIL00009","Transportation","Signals - Traffic Signals","Traffic Signals - DIF Funded"
"Transportation & Storm Water","AIL00005","Transportation","Signals - Traffic Signals","Traffic Signals Modification"
"Transportation & Storm Water","AIL00008","Transportation","Signals - Traffic Signals","Traffic Signals Mods - DIF Funded"
"Transportation & Storm Water","AID00002","Transportation","Roadway","Transportation Grant Match"
"Transportation & Storm Water","S10017","Transportation","Roadway","Triple Pipe Crossing Dennery Road"
"Transportation & Storm Water","S00608","Drainage","Storm Drain Pipes","TV/Evaluation-Storm Drain Corrugated Metal Pipes"
"Transportation & Storm Water","S00960","Transportation","Bicycle Facilities","University/Alabama Bike & Ped Safety Impr"
"Transportation & Storm Water","S00909","Transportation","Ped Facilities - Sidewalks","University Avenue and Front Street Pop Out"
"Transportation & Storm Water","S18001","Transportation","Signals - Calming/Speed Abatement","University Avenue Complete Street Phase 1"
"Transportation & Storm Water","S00915","Transportation","Roadway - Enhance/Scape/Medians","University Avenue Mobility"
"Transportation & Storm Water","S00911","Transportation","Roadway - Street Lighting","University Avenue Streetlights"
"Transportation & Storm Water","S00910","Transportation","Ped Facilities - Sidewalks","University Ave Sidewalk fr 54th to 68th"
"Transportation & Storm Water","S00821","Transportation","Roadway - Enhance/Scape/Medians","University City South Beautification"
"Transportation & Storm Water","S10060","Drainage","Storm Drain Pipes","Uptown Community Storm Drainage"
"Transportation & Storm Water","AID00001","Transportation","Roadway","Utilities Undergrounding Program"
"Transportation & Storm Water","S00986","Transportation","Signals - Calming/Speed Abatement","Via Capri Traffic Calming Project"
"Transportation & Storm Water","RD11001","Transportation","Roadway","Via de la Valle Widening"
"Transportation & Storm Water","S19002","Transportation","Roadway","Village Center Loop Rd-N Carmel Valley Rd"
"Transportation & Storm Water","S00919","Transportation","Roadway","Village Loop Road"
"Transportation & Storm Water","S10014","Transportation","Bicycle Facilities","Villa La Jolla Drive Bicycle Route"
"Transportation & Storm Water","S01097","Transportation","Bicycle Facilities","Vista Sorrento Parkway Bike Lanes"
"Transportation & Storm Water","S00704","Transportation","Roadway - Enhance/Scape/Medians","Washington St @ India St Median Improvements"
"Transportation & Storm Water","S00703","Transportation","Roadway - Enhance/Scape/Medians","Washington Street Improvements Phase II"
"Transportation & Storm Water","S21001","Water","Distribution System - Distribution","Water SCADA Upgrade Phase I"
"Transportation & Storm Water","ACC00001","Drainage","Best Management Practices (BMPs)","Watershed CIP"
"Transportation & Storm Water","RD19004","Transportation","Roadway","W Bernardo Dr Spot Improvement I-15 to Aguamiel Rd"
"Transportation & Storm Water","RD10001","Transportation","Roadway","Westerly Extension of Hazard Center Dr"
"Transportation & Storm Water","S00822","Transportation","Roadway - Enhance/Scape/Medians","West San Ysidro Blvd Streetscape"
"Transportation & Storm Water","S00740","Transportation","Ped Facilities - Sidewalks","Willow Elementary School-Safe Route to School"
"Transportation & Storm Water","S00871","Transportation","Bridge - Vehicular","W Mission Bay Dr Bridge Over SD River"
"Transportation & Storm Water","S00702","Transportation","Roadway - Enhance/Scape/Medians","W. San Ysidro Dairy Mart To Alverson"
"Transportation & Storm Water","P19001","Transportation","Roadway","Ysabel Creek Road Repair"
"","ABR00002","Buildings","MWWD - Administration Structures","Developer Projects (Auditor use only)"
"","ABR00003","Buildings","MWWD - Administration Structures","Metro Pooled Contingency"
"","ABO00002","Buildings","MWWD - Treatment Plants","Point Loma Treatment Plant"
"","S01047","Buildings","Parks - Recreation/Pool Centers","Colina Del Sol Pool ADA"
"","S01054","Parks","Community","Mira Mesa Community Park"
"","S10070","Parks","Miscellaneous Parks","Mariner's Point Rd Curbs & Parking Lot Improvement"
"","S10069","Parks","Miscellaneous Parks","Mission Bay Park Drinking Fountains Replacement"
"","S10078","Parks","Miscellaneous Parks","Mission Point/Bayside Walk Security Lighting"
"","S10076","Parks","Miscellaneous Parks","Sunset Point Parking Lot Security Lighting"
"","S10073","Parks","Miscellaneous Parks","Vacation Isle NEast Parking Lot Security Lighting"
"","S10071","Parks","Miscellaneous Parks","Vacation Isle North Cove Parking Lot Sec. Lighting"
"","S10072","Parks","Miscellaneous Parks","Vacation Isle North Cove Road Improvements"
"","S10074","Parks","Miscellaneous Parks","West Bonita Cove Children's Play Area Upgrades"
"","S10075","Parks","Miscellaneous Parks","West Ski Island Shoreline Stabilization"
